,id,y,communicability,distance,similarity
0,29974535,1,0.009071736256615514,10000,0.6372025012969971
1,15209998,1,0.05029188806044013,10000,0.1926998496055603
2,3437874514,1,0.0,10000,0.6574088335037231
3,3902476168,1,0.03047369164849227,2,0.9772480130195618
4,3375731260,1,0.04197241220548271,2,0.8898855447769165
5,1056079285,1,0.011229577231219767,10000,0.2111716866493225
6,21601936,1,0.0,10000,0.09260013699531555
7,1465188048,1,0.0269925443392972,10000,0.6343845725059509
8,732253965753143297,1,0.10729514915862265,10000,0.6493005156517029
9,28418614,1,0.024142865611338275,10000,0.3236461579799652
10,19256685,1,0.05131959292622468,10000,0.835108757019043
11,43955240,1,0.016668981963846228,10000,0.3936977684497833
12,428333,1,0.010368123475961898,10000,0.9442428350448608
13,14885549,1,0.0037599253596426055,10000,0.9428645968437195
14,16573941,1,0.0015905509286496338,10000,0.950520396232605
15,14075928,1,0.0,10000,0.9582122564315796
16,555340462,1,0.03452897873639244,10000,0.8613734245300293
17,44168607,1,0.0,10000,0.9887909293174744
18,10424112,1,0.013139164601335164,10000,0.900885283946991
19,2796117892,1,0.12714800476201074,10000,0.3341371417045593
20,67425538,1,0.04595169085644449,10000,0.20913341641426086
21,494328047,1,0.06195314104856205,10000,0.7287195324897766
22,47678743,1,0.04956318947404137,10000,0.841707170009613
23,487676214,1,0.03876509048663705,10000,0.3101980686187744
24,2267687312,1,0.14480454703948073,10000,0.20309218764305115
25,3031048560,1,0.03534153646693748,10000,0.35684189200401306
26,2514083556,1,0.016304588621057114,10000,0.18510748445987701
27,2542701631,1,0.09477174789611331,10000,0.5018795132637024
28,35729074,1,0.0028400095822084955,10000,0.12469074130058289
29,2242859550,1,0.028570527285310388,2,0.25394150614738464
30,2342400595,1,0.07634644457518243,10000,0.2542846202850342
31,2174661258,1,0.0010475138739548511,10000,0.9549594521522522
32,26574283,1,0.007865243011743291,10000,0.9190419316291809
33,3428292972,1,0.042068627840729365,10000,0.5436830520629883
34,50393960,1,0.016035960873746435,10000,0.3338913321495056
35,967178719,1,0.05079322421255629,10000,0.8271464109420776
36,126690009,1,0.030946238389641584,10000,0.4600476324558258
37,16048484,1,0.025005087251832654,10000,0.2773386538028717
38,2386961796,1,0.05961670998678092,10000,0.7994697690010071
39,3145015174,1,0.10941333376083838,10000,0.7047015428543091
40,171563665,1,0.0439967589380242,10000,0.821489155292511
41,398078840,1,0.03851313130488736,10000,0.3957849442958832
42,823700437,1,0.11523319193960638,10000,0.4782988727092743
43,92220233,1,0.11413105041728333,10000,0.5654399991035461
44,4010296588,1,0.059261291574339826,10000,0.7394444942474365
45,3418213642,1,0.0883798237708071,10000,0.6646216511726379
46,1385514642,1,0.12398249697177396,10000,0.2145456224679947
47,419042958,1,0.0,10000,0.25095823407173157
48,116854227,1,0.0939772844746346,10000,0.8523091077804565
49,11542772,1,0.044176920583671855,10000,0.662432074546814
50,696093051995955200,1,0.03563439036300804,2,0.7239487171173096
51,1549089422,1,0.07443269546216177,10000,0.4566057324409485
52,4040764336,1,0.017438756835336234,2,0.9768325686454773
53,16184358,1,0.018432592570483596,10000,0.9519034028053284
54,20402945,1,0.0378884401176703,10000,0.8019216060638428
55,18949452,1,0.04059041972141809,10000,0.9349678158760071
56,3315755839,1,0.0,10000,0.8341060280799866
57,758516559870504960,1,0.06121333677828399,10000,0.7961792349815369
58,3392866492,1,0.06882952188982493,10000,0.6963032484054565
59,1628702546,1,0.026605315256758747,10000,0.28559792041778564
60,16369150,1,0.02203932016357621,10000,0.8976236581802368
